Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
108,Fall,CS118,Programming Fundamentals,3,D,1,1.86,1.86,2
108,Fall,CL118,Programming Fundamentals - Lab,1,D+,1.33,1.86,1.86,2
108,Fall,MT119,Calculus and Analytical Geometry,3,C+,2.33,1.86,1.86,2
108,Fall,EE182,Basic Electronics,3,D+,1.33,1.86,1.86,2
108,Fall,SL101,English Language Lab,1,B+,3.33,1.86,1.86,2
108,Fall,SS101,English Language,3,B,3,1.86,1.86,2
108,Fall,MT104,Linear Algebra,3,D+,1.33,1.86,1.86,2
108,Spring,SS111,Islamic and Religious Studies,3,C,2,1.27,1.57,2
108,Spring,CL217,Computer Programming Lab,1,F,0,1.27,1.57,2
108,Spring,EL227,Digital Logic Design - Lab,1,B-,2.67,1.27,1.57,2
108,Spring,EE227,Digital Logic Design,3,C,2,1.27,1.57,2
108,Spring,MT224,Differential Equations (Cal II),3,D,1,1.27,1.57,2
108,Spring,SS122,English Composition,3,D+,1.33,1.27,1.57,2
108,Spring,CS217,Computer Programming,3,F,0,1.27,1.57,2
108,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
108,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
108,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
108,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
108,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
108,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
108,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
108,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
109,Fall,CL118,Programming Fundamentals - Lab,1,D+,1.33,1.84,1.84,0
109,Fall,EE182,Basic Electronics,3,D,1,1.84,1.84,0
109,Fall,MT104,Linear Algebra,3,C-,1.67,1.84,1.84,0
109,Fall,MT119,Calculus and Analytical Geometry,3,C,2,1.84,1.84,0
109,Fall,SL101,English Language Lab,1,B,3,1.84,1.84,0
109,Fall,CS118,Programming Fundamentals,3,D,1,1.84,1.84,0
109,Fall,SS101,English Language,3,B+,3.33,1.84,1.84,0
109,Fall,CS201,Data Structures,3,F,0,1.27,1.77,0
109,Spring,SS122,English Composition,3,D+,1.33,1.95,2.01,0
109,Spring,CL118,Programming Fundamentals - Lab,1,B-,2.67,1.95,2.01,0
109,Spring,SS111,Islamic and Religious Studies,3,D+,1.33,1.95,2.01,0
109,Spring,EE227,Digital Logic Design,3,B,3,1.95,2.01,0
109,Spring,CS118,Programming Fundamentals,3,C,2,1.95,2.01,0
109,Spring,EL227,Digital Logic Design - Lab,1,C-,1.67,1.95,2.01,0
