CL118,CL217,CS118,CS217,EE182,EE227,EL227,MT104,MT119,MT224,SL101,SS101,SS111,SS113,SS122,CGPA,Warning,CS201
Average,Bad,Bad,Worst,Average,Average,Good,Good,Good,Excellent,Good,Good,Unknown,Good,Bad,Average,Excellent,Good
Good,Good,Average,Average,Average,Average,Good,Good,Good,Bad,Good,Good,Unknown,Bad,Good,Average,Excellent,Average
Good,Unknown,Good,Unknown,Bad,Unknown,Unknown,Excellent,Excellent,Unknown,Good,Excellent,Unknown,Unknown,Unknown,Worst,Excellent,Good
Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Average,Average,Bad,Excellent,Excellent,Good,Unknown,Excellent,Good,Excellent,Excellent
Excellent,Good,Excellent,Good,Good,Good,Average,Excellent,Excellent,Good,Good,Excellent,Average,Unknown,Good,Good,Excellent,Good
Excellent,Good,Good,Average,Good,Excellent,Excellent,Good,Average,Good,Good,Excellent,Unknown,Average,Good,Good,Excellent,Average
Average,Good,Average,Bad,Average,Average,Average,Average,Average,Good,Good,Good,Good,Unknown,Average,Average,Excellent,Average
Excellent,Average,Average,Good,Good,Average,Good,Good,Good,Excellent,Good,Average,Good,Unknown,Bad,Good,Excellent,Excellent
Good,Good,Average,Worst,Good,Excellent,Excellent,Good,Average,Good,Good,Good,Excellent,Unknown,Bad,Average,Excellent,Average
Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Good,Unknown,Average,Good,Excellent,Excellent
Bad,Worst,Bad,Worst,Good,Good,Average,Good,Average,Average,Excellent,Excellent,Unknown,Excellent,Good,Average,Excellent,Worst
Excellent,Good,Good,Average,Average,Good,Average,Average,Bad,Average,Excellent,Excellent,Good,Unknown,Excellent,Average,Excellent,Good
Average,Bad,Average,Worst,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Unknown,Bad,Good,Average,Excellent,Good
Bad,Unknown,Bad,Unknown,Good,Average,Average,Good,Good,Excellent,Good,Good,Unknown,Bad,Bad,Average,Excellent,Average
Average,Unknown,Average,Unknown,Excellent,Good,Good,Good,Excellent,Excellent,Average,Good,Excellent,Unknown,Bad,Good,Excellent,Average
Average,Unknown,Average,Unknown,Average,Average,Bad,Bad,Average,Average,Good,Good,Unknown,Good,Good,Average,Excellent,Average
Excellent,Excellent,Average,Excellent,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Unknown,Excellent,Good,Excellent,Excellent
Bad,Average,Average,Worst,Good,Average,Average,Good,Excellent,Excellent,Average,Good,Unknown,Worst,Bad,Average,Worst,Good
Excellent,Good,Excellent,Good,Good,Average,Average,Good,Excellent,Worst,Excellent,Excellent,Average,Unknown,Good,Good,Excellent,Good
Bad,Good,Bad,Average,Good,Excellent,Good,Excellent,Average,Good,Excellent,Excellent,Unknown,Unknown,Excellent,Good,Excellent,Good
