CL118,CL217,CS118,CS217,EE182,EE227,EL227,MT104,MT119,MT224,SL101,SS101,SS111,SS113,SS122,CGPA,Warning,CS201
Good,Unknown,Average,Unknown,Bad,Good,Average,Average,Average,Unknown,Good,Good,Bad,Unknown,Bad,Average,Excellent,Worst
Bad,Unknown,Bad,Unknown,Good,Excellent,Good,Average,Good,Unknown,Good,Good,Unknown,Unknown,Average,Average,Excellent,Worst
Excellent,Worst,Good,Worst,Average,Good,Bad,Bad,Bad,Unknown,Good,Good,Unknown,Worst,Bad,Bad,Worst,Worst
Good,Bad,Average,Average,Average,Good,Good,Good,Average,Average,Good,Excellent,Unknown,Average,Excellent,Average,Excellent,Good
Excellent,Average,Average,Average,Good,Good,Average,Average,Average,Bad,Excellent,Average,Unknown,Excellent,Average,Average,Excellent,Worst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Unknown,Excellent,Excellent,Excellent,Excellent
Good,Worst,Good,Worst,Average,Good,Bad,Bad,Bad,Worst,Good,Excellent,Bad,Unknown,Excellent,Average,Excellent,Good
Excellent,Excellent,Good,Average,Average,Average,Average,Good,Good,Average,Excellent,Good,Unknown,Average,Good,Good,Excellent,Good
Excellent,Good,Average,Average,Good,Good,Average,Good,Good,Excellent,Good,Average,Unknown,Bad,Bad,Average,Excellent,Good
Bad,Worst,Average,Worst,Good,Good,Good,Good,Average,Average,Good,Good,Good,Unknown,Bad,Average,Excellent,Worst
Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Unknown,Good,Good,Good,Excellent,Good
Excellent,Good,Average,Average,Good,Average,Good,Good,Good,Good,Good,Average,Unknown,Average,Bad,Average,Excellent,Excellent
Average,Average,Average,Average,Average,Good,Bad,Good,Good,Average,Good,Average,Unknown,Average,Average,Average,Excellent,Good
Bad,Unknown,Bad,Unknown,Bad,Average,Good,Bad,Average,Average,Good,Good,Average,Unknown,Good,Average,Excellent,Worst
Average,Excellent,Average,Average,Bad,Good,Good,Bad,Good,Average,Excellent,Excellent,Unknown,Excellent,Excellent,Good,Excellent,Average
